# PDF FOR SAMPLED RESULTANT VECTORS:
# (R) (p(R)) (err) (fRay(R))
4.4299338577 0.0127455935437 0.00728396259998 0.00527087508137
6.78368850216 0.0 0.0 0.0115707893654
9.13744314663 0.0212426559062 0.00930610648281 0.0191158324261
11.4911977911 0.00849706236249 0.00597790829505 0.0267766831065
13.8449524355 0.0382367806312 0.012219773711 0.0334858361824
16.19870708 0.0382367806312 0.012219773711 0.0384114448137
18.5524617245 0.0764735612624 0.0164045526399 0.0410671389165
20.9062163689 0.0424853118125 0.0128098034894 0.0413431300705
23.2599710134 0.03398824945 0.0115840419045 0.0394640467848
25.6137256579 0.0382367806312 0.012219773711 0.0358946139128
27.9674803023 0.0254911870875 0.01014053258 0.0312219953384
30.3212349468 0.0254911870875 0.01014053258 0.0260427973199
32.6749895912 0.0212426559062 0.00930610648281 0.0208753783779
35.0287442357 0.00849706236249 0.00597790829505 0.0161076376277
37.3824988802 0.00849706236249 0.00597790829505 0.0119803178163
39.7362535246 0.00424853118125 0.00424853118125 0.0085985293438
42.0900081691 0.00849706236249 0.00597790829505 0.00596069247297
44.4437628136 0.0 0.0 0.00399409495797
46.797517458 0.00849706236249 0.00597790829505 0.00258863080039
# SUMMARY STATISTICS:
# av(R) +- sErr(R) = 22.463892 +- 0.919587 

# TETS NULL HYPOTHESIS FOR SAMPLER: UnitSphere
# av(R) +- sErr(R) = 22.463892 +- 0.919587 
# R0 = 30.468435
# REJECT NULL HYPOTHESIS (SIGNIFICANCE LEVEL 0.20): False 
# TEST RESULT: OK
