# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-18.0 823 0.00823 0.00437311493291 0.0044191723332
-16.0 823 0.00823 0.00874622986582 0.00872290586339
-14.0 2057 0.02057 0.016034754754 0.0158941707677
-12.0 4118 0.04118 0.0270059027436 0.0267344347004
-10.0 1236 0.01236 0.0418591492526 0.0415107497421
-8.0 4526 0.04526 0.0597987846465 0.0594985786257
-6.0 8640 0.0864 0.0788256706704 0.0787243431714
-4.0 11935 0.11935 0.0959616860335 0.0961541298839
-2.0 11520 0.1152 0.107956896788 0.10841347871
0.0 9877 0.09877 0.112275172659 0.11283791671
2.0 11110 0.1111 0.107956896788 0.10841347871
4.0 9464 0.09464 0.0959616860335 0.0961541298839
6.0 11114 0.11114 0.0788256706704 0.0787243431714
8.0 2881 0.02881 0.0597987846465 0.0594985786257
10.0 3288 0.03288 0.0418591492526 0.0415107497421
12.0 2058 0.02058 0.0270059027436 0.0267344347004
14.0 1647 0.01647 0.016034754754 0.0158941707677
16.0 2059 0.02059 0.00874622986582 0.00872290586339
18.0 824 0.00824 0.00437311493291 0.0044191723332
