# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-46.0 1 1e-05 1.5125249816e-06 2.0281704131e-06
-44.0 1 1e-05 3.94336870202e-06 4.98849425801e-06
-40.0 1 1e-05 2.31706905801e-05 2.6766045153e-05
-38.0 3 3e-05 5.23209142132e-05 5.83893851583e-05
-36.0 11 0.00011 0.000112816971272 0.000122380386023
-34.0 23 0.00023 0.000232471334743 0.000246443833695
-32.0 38 0.00038 0.000458105277287 0.000476817640293
-30.0 81 0.00081 0.000863855665742 0.000886369682388
-28.0 146 0.00146 0.00155973939648 0.0015830903166
-26.0 236 0.00236 0.00269792760472 0.00271659384674
-24.0 426 0.00426 0.00447287997624 0.00447890605897
-22.0 684 0.00684 0.00711073226993 0.00709491856925
-20.0 1084 0.01084 0.0108438667116 0.0107981933026
-18.0 1540 0.0154 0.0158690732365 0.0157900316602
-16.0 2211 0.02211 0.0222922695466 0.0221841669359
-14.0 3106 0.03106 0.0300686426442 0.0299454931271
-12.0 3861 0.03861 0.0389525597891 0.0388372109966
-10.0 4895 0.04895 0.0484742966264 0.0483941449038
-8.0 5698 0.05698 0.0579583981403 0.0579383105523
-6.0 6693 0.06693 0.066590499991 0.0666449205784
-4.0 7404 0.07404 0.0735270104067 0.0736540280607
-2.0 7785 0.07785 0.0780286641051 0.0782085387951
0.0 8018 0.08018 0.0795892373872 0.0797884560803
2.0 7736 0.07736 0.0780286641051 0.0782085387951
4.0 7350 0.0735 0.0735270104067 0.0736540280607
6.0 6532 0.06532 0.066590499991 0.0666449205784
8.0 5875 0.05875 0.0579583981403 0.0579383105523
10.0 4909 0.04909 0.0484742966264 0.0483941449038
12.0 3787 0.03787 0.0389525597891 0.0388372109966
14.0 3021 0.03021 0.0300686426442 0.0299454931271
16.0 2203 0.02203 0.0222922695466 0.0221841669359
18.0 1688 0.01688 0.0158690732365 0.0157900316602
20.0 1044 0.01044 0.0108438667116 0.0107981933026
22.0 766 0.00766 0.00711073226993 0.00709491856925
24.0 516 0.00516 0.00447287997624 0.00447890605897
26.0 280 0.0028 0.00269792760472 0.00271659384674
28.0 172 0.00172 0.00155973939648 0.0015830903166
30.0 71 0.00071 0.000863855665742 0.000886369682388
32.0 48 0.00048 0.000458105277287 0.000476817640293
34.0 24 0.00024 0.000232471334743 0.000246443833695
36.0 18 0.00018 0.000112816971272 0.000122380386023
38.0 7 7e-05 5.23209142132e-05 5.83893851583e-05
40.0 6 6e-05 2.31706905801e-05 2.6766045153e-05
48.0 1 1e-05 5.51867223015e-07 7.92259818206e-07
