# (x) (f(x)) (p(x)) (W(x,N)) (p(x,N))
-10.0 101 0.00101 0.0009765625 0.0017000733205
-8.0 978 0.00978 0.009765625 0.0102848442527
-6.0 4465 0.04465 0.0439453125 0.0417071000726
-4.0 11646 0.11646 0.1171875 0.113371652245
-2.0 20471 0.20471 0.205078125 0.206576618987
0.0 24690 0.2469 0.24609375 0.252313252202
2.0 20628 0.20628 0.205078125 0.206576618987
4.0 11594 0.11594 0.1171875 0.113371652245
6.0 4355 0.04355 0.0439453125 0.0417071000726
8.0 967 0.00967 0.009765625 0.0102848442527
10.0 105 0.00105 0.0009765625 0.0017000733205
