# (r)  (h(r))
0.0 98601.709517
0.005 14183.8760944
0.01 5064.78989724
0.015 2462.43714702
0.02 1480.70814369
0.025 977.276236147
0.03 642.289746763
0.035 470.827077385
0.04 360.768203177
0.045 266.659231057
0.05 200.79831051
0.055 169.901350849
0.06 134.929825298
0.065 108.359172919
0.07 89.0883362217
0.075 71.6234025256
0.08 58.1012882504
0.085 46.2664807736
0.09 41.4523594587
0.095 33.9522946568
0.1 29.4933714268
0.105 23.1880418763
0.11 19.7194753946
0.115 16.3261938908
0.12 16.9003638143
0.125 12.1699251503
0.13 11.5480441059
0.135 10.2646376233
0.14 8.43949212763
0.145 6.68868711292
0.15 5.86885746038
0.155 5.91718778807
0.16 4.76679343296
0.165 4.21908778943
0.17 3.86989385952
0.175 3.18249515734
0.18 2.97420587978
0.185 2.32510211921
0.19 2.45338355299
0.195 1.91253623531
0.2 1.7934751899
0.205 1.42786787361
0.21 1.24213305156
0.215 1.06670090149
0.22 0.956540113764
0.225 1.03145535226
0.23 0.860617677601
0.235 0.555754266145
0.24 0.677793246409
0.245 0.405723135254
0.25 0.476905358075
0.255 0.399014941626
0.26 0.358989302193
0.265 0.295364264583
0.27 0.344766794188
0.275 0.226664105868
0.28 0.235307797774
0.285 0.177864892596
0.29 0.239679132565
0.295 0.171783053962
0.3 0.12112047872
0.305 0.118755699124
0.31 0.098202473212
0.315 0.0986385690262
0.32 0.057948052392
0.325 0.0785250608759
0.33 0.07122614141
0.335 0.0433185797569
0.34 0.0394069972642
0.345 0.0544797745811
0.35 0.0333234933126
0.355 0.0378671114803
0.36 0.0352429733639
0.365 0.0293742778273
0.37 0.0216258449561
0.375 0.0237400829618
0.38 0.0133963881765
0.385 0.0278140131628
0.39 0.0269219970811
0.395 0.0208382980205
0.4 0.01282547985
0.405 0.010455311415
0.41 0.00920862523472
0.415 0.00917301012479
0.42 0.0118304492521
0.425 0.00588981913133
0.43 0.00463636174127
0.435 0.00415442660621
0.44 0.00552555918507
0.445 0.00429874160451
0.45 0.00223449565033
0.455 0.0023198150907
0.46 0.00269362431152
0.465 0.00462060765179
0.47 0.00446155064408
0.475 0.00380197304855
0.48 0.00290075756837
0.485 0.00305492279236
0.49 0.00267842973014
