# (r)  (h(r))
0.0 96283.7669786
0.005 13274.6946005
0.01 4571.85335221
0.015 2194.07993507
0.02 1310.2031172
0.025 836.639212532
0.03 560.304507209
0.035 414.791500591
0.04 306.310594182
0.045 233.614237503
0.05 168.254428245
0.055 146.034011219
0.06 116.625677945
0.065 101.175640624
0.07 82.0587808657
0.075 65.431987046
0.08 56.3163553326
0.085 47.0059744793
0.09 38.946271584
0.095 34.4417702367
0.1 27.736976239
0.105 23.7904122308
0.11 20.2903505492
0.115 17.0818881091
0.12 16.9550494211
0.125 13.7872258173
0.13 12.3544639783
0.135 11.172644557
0.14 9.26546433481
0.145 7.74687606976
0.15 6.94362711835
0.155 6.21256594549
0.16 5.63955869788
0.165 5.22490275841
0.17 4.65659251063
0.175 3.86589261001
0.18 3.69232159083
0.185 3.11184182712
0.19 3.27350052952
0.195 2.5538002891
0.2 2.33444356803
0.205 2.1189195619
0.21 1.96989468627
0.215 1.9410185023
0.22 1.64211571279
0.225 1.49041661616
0.23 1.26010579404
0.235 1.0087460003
0.24 1.0953563048
0.245 0.843491921193
0.25 0.814537871104
0.255 0.767319480315
0.26 0.665078870488
0.265 0.647371592065
0.27 0.587485406256
0.275 0.490246425125
0.28 0.456186325856
0.285 0.437831941326
0.29 0.415356822499
0.295 0.364422452717
0.3 0.29100196052
0.305 0.26256434191
0.31 0.236499697467
0.315 0.256638259243
0.32 0.238471015639
0.325 0.211549388591
0.33 0.178493798124
0.335 0.133117050696
0.34 0.146502759049
0.345 0.134132075995
0.35 0.135012286569
0.355 0.106559109692
0.36 0.0861753736253
0.365 0.088189274038
0.37 0.0705978022322
0.375 0.0709322527603
0.38 0.0678178457599
0.385 0.0819699724345
0.39 0.0686926611317
0.395 0.0539491550603
0.4 0.042070751797
0.405 0.0527123656694
0.41 0.0355797005132
0.415 0.0328640085097
0.42 0.0295178959881
0.425 0.0326270785631
0.43 0.0266580414008
0.435 0.0252285244346
0.44 0.0262121752453
0.445 0.0218361715266
0.45 0.0162603441969
0.455 0.0196122648816
0.46 0.0154712534531
0.465 0.0178728535204
0.47 0.0148896747212
0.475 0.0148702561968
0.48 0.0142680387012
0.485 0.0113468268902
0.49 0.0102135157607
